text,label,lang
কথা শেষ হলে কোনও একজন নেতা হয়ত এসে আমাকে পরিচয় দিয়ে বলবেআমি ২০১৮ সালে কোটাবিরোধী আন্দোলন এর বিরোধিতা করেছিলাম ফেসবুকে কেউ এই আন্দোলন নিয়ে পোস্ট দিলেই সেখানে হাহা রিয়্যাক্ট দিয়েছিলাম আমি তখন তাকে জড়িয়ে ধরে বলবোসোনার ছেলে পোস্ট থেকে ভুলে বাদ যাওয়া প্যারাটা সংযোজন করে দেয়ায় অবশ্যই আমি আপনাদের কাছ থেকে লাভ রিয়্যাক্ট আর ধন্যবাদ পাবো আরধন্যবাদ জাফর ইকবাল স্যার আমাকে খুব সুন্দর একটা ছেলেবেলা উপহার দেয়ার জন্য আপনি আমার শুধু প্রিয় লেখক নাপ্রিয় মানুষও ছিলেন বটে খুব সম্মান করতাম আপনাকেনিজের আইডল ভাবতাম কিন্তু কোটা আন্দোলন এ আপনি যে রুপ দেখালেন তাতে সম্মানভালবাসা টা আর রইলো না আপনার কাছ থেকেই শিখেছিলাম মানুষকে সম্মান করতেভালবাসতে তাই আপনাকে অসম্মান করবো না কখনো কিন্তু মনে যেটা ছিল আপনার প্রতি সেটা আর থাকলো না ভাল থাকবেন,0,bangla
সময় নষ্ট করলাম,0,bangla
আর যাই হোক মাল টা কিন্তু সেই একদম চ্যাপটা ডিসি হালারপুত খাইয়া মজা পাইছে,1,bangla
শালাকে কবিরাজ দেখা দরকার ।,1,bangla
ভারোত পাকিস্তান বুজিনা কাসমির সাধিন চাই,0,bangla
चेन्नई येथे बुरखाधारी महिलेने मशिदीजवळ इमामाला पेटवले,1,marathi
केंद्रीय मंत्री रामदास अठावले की सलाह गुलामनबी आजाद और कपिल सिब्बल को बीजेपी में शामिल होना चाहिए,0,hindi
च्यायलाच्यामारीतिच्यायलाह्याच्यायला भाड्यायेड्यागाबड्यातिच्यामारीबावळ्यामूर्खशेमन्यागाढवीच्यारांडिच्यावासाड्याबिनबुडाच्याबिनबापाच्याअक्करमाशाचक्रमाकुत्तरड्याबाराबोड्याच्या गचपनढवळ्याघोड्यारेड्यादिडदमडीच्या चोरट्याफुकणीच्याकाळतोंड्या,1,marathi
रायगड,0,marathi
े नारे लगाएगा तो पुलिस से पहले उसे मैं सबक सिखाऊंगा से कुछ लोग हर चीज को हिन्दू मुसलमान का रंग देते है मैं से आग्रह करता हूं कि मेरे बारे में पाकिस्तान ज़िंदाबाद की अफवाह फैलाने वालों को तुरंत अरेस्ट करें।,0,hindi
বিজলী মেয়েটা বলে কি টাস্কি খাইলাম,0,bangla
बीजेपी के राज में हद से ज्यादा पाकिस्तान मारा गया है वर्ल्ड रैंकिंग में इंडिया पीछे चला जरा है,0,hindi
আপনি কথাটা মিথ্যা এটি একটি গুজব আমি হান্ডেট পার্সেন্ট সিওর,0,bangla
ওর মত প্লেয়ার বাংলাদেশ দলে কেন খেলে তাই ত বুঝি না ।হালা ছাগলের তিন নম্বর বাচ্চা।,0,bangla
লায়লাতুল সরকার বলে কথা,0,bangla
मई तुम्हे तुच्छ समझता हूँ,0,hindi
you ugly currymuncher that seems to be my real name these days,0,english
शाहिरी पोवाडा कलामंचकोल्हापूर मुराशिवडे ताराधानगरी जि कोल्हापूर येथे स्वातंत्र्याच्या अमृत महोत्सवानिमित्त पोवाडा सादरीकरण करताना या कार्यक्रमाला नागरिकांनी उत्स्फूर्त प्रतिसाद दिला IndiaAt75 AzadiKaAmritMahotsav freedom,0,marathi
तुनी भाजपा ला मत दिले होते का नाही दिलं तर कांग्रेस चे खटारा 70 वर्ष भाजपा चे पण बघा कांग्रेस काळात देशाच्या विभाजन बघितलं तो बघ औवेसी वेगळा देशाची मागणी करतोय दिलं पाहिजे,1,marathi
জোতা মারা দরকার,0,bangla
हिन्दुओं कभी किसी और की तरह स्मार्ट नहीं हो सकते,1,hindi
My Article समाज विकास साठी सेवा व समर्पण चे मुर्तिमंत उदाहरण म्हणजे पंतप्रधान SevaSamarpan,0,marathi
চারটে কুত্তা একটা মানুষকে ধরেছে কুত্তার ঘেউ ঘেউ শব্দ তে মানুষের শব্দ ক্ষীণ হয়ে আসছে,1,bangla
खरच सनी देओल नुसत्या पाद्रया धमक्या देतोदम असता तर शेतकरी आंदोलनात गेला असतावेड्यात काढतो का रे लोकांना फुसक्या,1,marathi
roseland i did not put anything false on hers she what a slut a queen i know i am turkish i went to the museum i know her history i do not make things up,0,english
অনেক ভাল লাকছেনাটক টা,0,bangla
मुसलमान बिना किसी अपवाद के बुद्धिहीन होते हैं,0,hindi
মিন্নি সত্যি পরিকল্পনা করে তার স্বামীকে হত্যা করিয়েছে । ধন্যবাদ,0,bangla
মুগো বাঙ্গালীরা বেশ শিক্ষিত হইয়া গেছে। তাই মুগো জাফর ইকাবাল স্যারের কমেন্ট বক্সে ডাইরিয়া হইয়া যায়। আজিব পুলাপাইন,0,bangla
देख लिया देश की जनता ने कांग्रेस सरकार का इन्साफ़शर्मा आती है ऐसी सरकार की न्याय देख करऔर मैं इस देश की जनता से अपील करना चाहूँगा कि अपना वोट कांग्रेस को देने से पहले याद रखना की ये वही सरकार है,0,hindi
ফাসি দিতে দেরী হলে সবাই প্রসাশণ ও সরকারের গোসঠী চোদেন।,1,bangla
i am pretty sure that it is fine if the rates are understood to be per year or some other finite period as is usually the case in economics after a year in the bank an amount of money am becomes where i is the nominal interest rate you can also write this as where are is the real interest rate and p is the rate of inflation then you get the first equality for r it reduces to i p when p is small or if the rates are measured instantaneously something that probably only a mathematician would do,0,english
apples and oranges jonathan rabin is not a rabid extremist he does not make his living by iconoclasm provocation and controversial ism he is just a serious english author who lives part time in america and whose views are taken seriously across all political spectra except yours and killer chihuahua s apparently,0,english
आपला अमूल्य वेळ दिल्याबद्दल मनःपूर्वक धन्यवाद दादा,0,marathi
बोगस कॉल सेंटर प्रकरणातील मुख्य आरोपीकडील विराट कोहलीकडून घेतलेली महागडी कार ठाणे पोलिसांनी,0,marathi
सिंपल सवाल No बकवास जर न्यायाने बहुमत सिद्ध करा तुमच्या बाजूनी निकाल दिला नसता तर वडिलांना दिलेले वचन पूरे झाले असता का उगाच न्यायाचा अवमान करू नका,0,marathi
you messed up the collegehumor i do not know if it what a slut an accident or intentional but be careful do not mess stuff up like that,1,english
सभी पाकिस्तानियों को मार डालो जैसी आपकी बातें सही नहीं लगती,0,hindi
সে মারাত্মক মিথ্যা বলেছে বিশ্ব নবী সাঃ তিন প্রকারে চুল রেখেছেন লিম্মা ওয়াফরা দুম্বা অর্থাৎ কান বাবরি কান ও কাঁধের মধ্যবর্তী ঘাড়ের শেষ চূড়া অর্থাৎ শাহারা রগ বা মাথাটা যে রগের ওপর দাঁড়িয়ে অাছে সে পর্যন্ত৷তার বেশি তিনি রাখেন নি ঘাড় ছাড়িয়ে বা কাঁধ অব্ধি রাখেন নি বরং নিষেধ করেছেন বলেছেন মেয়েদের সাদৃশ্যে চুল রাখলে অাল্লাহ পাকের লা নত রাসূল সাঃ এর লা নত ফেরেশ্তাদের লা নত অাপনারা কষ্ট করে শামায়েলে তিরমিযি শরীফটা পড়ে নিবেন তাহলে ক্লিয়ার কনসেফ্ট পেয়ে যাবেন অারমাথা ন্যাড়া করা সুন্নাতে সাহাবী রা হযরত অালী রাঃ বার বার মাথা ন্যাড়া করতেন যদিও একটা কারনে তারপরও মাথা ন্যাড়া করা হারাম কোন বিষয় নয় অারেকটি কথা সে যেভাবে ভাষা ব্যাবহার করেছে রাগারাগি করেছে অশ্লীল বাক্য প্রয়োগ করেছে কিছু দলের নাম বলে তিরস্কার করেছে অাহলে হাদীসদেরকে অাহলে খবিস বলে উল্যেখ করে যেভাবে অহংকার করে বক্তব্য প্রদান করেছে তা শুধু মাত্র ইবলিশের সাথে মিল খুঁজে পাওয়া যায় অাল্লাহ অামাদের সবাইকে মাফ করুন অামীন,0,bangla
शाळाकॉलेज हे शिक्षेचे मंदिर असते जिथे सर्व धर्म जातींचे विद्यार्थी सारखे असतात अशा ठिकाणी आपल्या धर्माचे प्रदर्शन करणे चूक आहे आपल्या सारख्या व्यक्तीने निव्वळ राजकारण म्हणून अशा गोष्टीचे समर्थन करणे योग्य नही आणि असे असेल तर सर्वात अगोदर महाराष्ट्र राज्यात युनिफॉर्म वर बंदी आना,0,marathi
jer homoselsualnost i am about to eze s odom vatican guano ali any bring je piss off totem momentary jason the ce ti deca bit duodena not applicable drive niacin sve you duh tolerance jet,1,english
then again it could be her since she said we would find out about the new mascot and she what a slut announced this morning,0,english
আমি প্রায় ২০২৫ জনের কমেন্ট পড়লাম। প্রায় সবার মনে একই খোব। জাফর নাহিদ গংরা চোরকে বলে চুরি কর মালিককে বলে সজাগ থাক যে যার আখের গোছাই দেশ শালার জাহান্নামে যাক,0,bangla
utc here and i am sure you left a warning to the guy inside who made a false accusation of vandalism ah yeah but of fucking course you certainly didn t because the use of it means cool a k a fuck will upset me all on the kiddies but dishonest accusations of vandalism are not just tolerated but encouraged if you cannot see anything wrong with fucking morons too stupid fools to even really understand what vandalism is being given free rein to piss off anyone they like here then you are a fucking stupid vagina as well,1,english
अय लाचारांनोकराच बंद आजपर्यंत कितीने खरेदी आणि विक्री केली किती करोड कमवले आणि शक्यतेवर गरळ ओकण्यापेक्षा राज्य सरकारला करकपात करायला कधी सांगणारगोवा सरकारने प्रत्येक ७ व १७ रू करकपात केली आहेलाचारी बंद करा रे लुटारूंनो,1,marathi
केवल दलित ही इतने क्रूर हो सकते हैं,1,hindi
एकदम झकास भिडू जोरदार पार्टी झाली पाहिजे,0,marathi
ইয়া মিথিলার মত সন্তান কারোকে দিও না,0,bangla
আল্লাহ্ বাচ্চাগুলোর সহায় হোন এই দোয়া ছাড়া আর কিছু করতে পারবোনা আমি।আমি ওদের পাশে দাঁড়াতে পারলেও কিছু আসতো যেতোনা হয়তোবা ওদের। কারন আমি বিশেষ কেউনাকিন্তু আপনিএকটিবারকি বাচ্চাগুলোর পাশে গিয়ে দাঁড়ানো যেতনাখুব কঠিন ছিল ব্যাপারটালিখাটাও ভালো লেগেছে সত্য তবে আপনি সাধারন কেউনাযে কেবল এটা নিয়ে লিখেই দায়িত্ব শেষ বলে মনে করবেন।আপনাকে পছন্দ করি স্যারসে পছন্দটাকে এমন দুএকটা ছোটখাটো কাজ করে ভীষন রকমের পছন্দে আনা যায়না,0,bangla
লুইচ্চা মাদার ফাকার তোর আসল রুপ পোলাপান বুঝতে শিখছে।,1,bangla
বিশ্ব এবং বাংলাদেশের কোন মিডিয়ায় এ ধরনের খবর দেখলাম না এটা তোর বানানো খবর,0,bangla
you leave is nowhere much in the book and it is doing what,1,english
काय पुरावा नव्हता इतके दिवस आन्या काय शेट्ट उपसतहोता की काय तुझ्या रिंगणातील जमलेल्या ची,1,marathi
आज त्याच संविधानावर भारत टिकला जगला आणि जगामध्ये नावलौकिकाला आला आज परक्यांची तोंड तर शिवल्या गेली परंतु आमच्या कडची काही भिकमांगे नाही सुधरले ना सुधरणार आपण जेव्हा एखादे महत्तम कार्य करतो तेव्हा दहा लोकांसोबत तरी विचार विमर्श करतो 4 22,1,marathi
শাকিব খান সারা বাংলাদেশ গব,0,bangla
মিন্নি একটা খারাপ মেয়ে এখন যে বিয়ে করবে সেও খারাপ ছেলে হবে,0,bangla
এতো খারাব সন্তান যেন কারো না হয় খানকি মাগি দেখে দারিয়ে,1,bangla
बोक्या तू नक्की शेटजी च्या बाजूला आहेस ना हिंदू मुस्लिम भांडण लावतोय स ना का त्याचे प्राब्लेम वाढवतोयस शेतकरी आंदोलन अंगाशी आलय आणि भर नको घालूस,1,marathi
চবিটা দেখে চোখে পানি চলে আসলো,0,bangla
স্যার তাড়াতাড়ি সুস্থ হয়ে যান।,0,bangla
মিথিলার ভিডিও লিংটা কারোর কাছে থাকলে দয়া করে দিবেন,0,bangla
শালা আবার কথা কয় কোন মুখে,1,bangla
জীবনে বার খুব কষ্ট পেয়ে কেঁদেছি ম খুব কষ্ট লেগেছিল যে দিন প্রথম ভালবাসার মানুষটাকে হারিয়ে ছিলাম কিন্তু চোখের পানি এতটা ঝড়েনি আজ য় বার মত করে কাঁদলাম মনের মধ্য এত বড় একটা আঘাত পেয়ে কাঁদব সেটা কখনও ভাবিনি তাও সাকিব ভাইয়ের জন্যএখন মনে হচ্ছে আমার ভালবাসার মানুষটার চেয়ে অনেক বেশি সাকিব ভাইকে ভালবেসেছি যার জন্য চোখের পানি ধরে রাখতে পারছিলা এইটাই হল প্রকৃত ভালবাসা,0,bangla
great i figured it must just be something like that but wanted to make sure,0,english
दिल्ली वाला पलटू राम योगी_जलवा_22में_भगवा,0,marathi
বেইমান তাহলে দেখানোর দরকার ছিল,0,bangla
कुडाळ नगरपंचायत निवडणुकीत निवडून आलेल्या सर्व भारतीय जनता पार्टीच्या विजयी उमेदवारांचे अभिनंद,0,marathi
আওয়ামিকুতা এরা,0,bangla
trans people are below everyone else,1,english
अरे या बोबड्याला त्याच लिकेज होणाऱ्या ऑक्सिजन टॅंक मध्ये कोणी फेकून यारे मादरचोद प्रत्येक गोष्टी मध्ये याला राजकारण करता येत काल मध्ये प्रदेश मध्ये ऑक्सिजन लीक होऊन 10 जण मेलेत तिथे धूतराष्ट्र होऊन बसला होता का,1,marathi
BiggBossMarathi3 BiggBossTelugu5 BiggBoss15 मीठ नाही चालत वा ह्यालाच द्या धुरी मिरची ची Fair कॅप्टन,1,marathi
you got told off of calling someone named ching boy on the tube fuck off way are you defending yourself,1,english
পাপন নাশক মেডিসিনে সাকিব বিদায়।।।।,0,bangla
নাটক গুলো দেখতে অনেক ভালো লাগে,0,bangla
खरंय खुप हलकट आणि हिंदू द्वेषाने भरलेला माणूस होता,1,marathi
পাপনের মায় রে চুদে দে মাগির পোলা তোর কপালে দুংখ আছে,1,bangla
শকুন যত উপরেই উঠুকনা কেন নজর থাকে নিজের দিক,0,bangla
यांचा काही भरवसा नाही उर्दू भवन च्या बाजूला सुंता सेंटर पण उभारतीलआधी सुंता मग उर्दू आणि लाचार तेदेखील लाळ चाटत चाटत करतील,1,marathi
utc i cited the encyclopaedia britannica to that effect but it was not good enough for the user in question however he has just been suspended for a month and another editor has improved the sentence under dispute it is almost like being back on other kin again thanks very much for commenting,0,english
bitch minsk center is so damn beautiful a whole main dancer,0,english
হা হা হা কুততা লিগ,1,bangla
नसे भय परजायाचे विजयाचे आम्हा वेड लुटूनी सोने आनंदाचे रोवितो सत्याची मुहूर्तमेढ विजयादशमीच्या हार्दिक शुभेच्छा,0,marathi
भ्रष्टाचारी महामेरू आणि घरकोंबडा कोणतीही अपेक्षा पूर्ण नाही करू शकत हे माहिती असेल त्याला ज्याच्याकडून अपेक्षा त्यालाच बोलणार,1,marathi
महाराष्ट्रात कालपर्यंत 4 कोटी 94 लाख 18 हजार 401 नागरिकांचे लसीकरण करण्यात आले दि 15 ऑगस्ट 2021 रोजी 206163 लाभार्थ्यांना लसीकरण करण्यात आले,0,marathi
हा वाला शर्ट घालेल तो,0,marathi
i love your voice how do you get it to sound so sexy and strong barbiedreamsvideo,0,english
glad i dont believe your bible you have four member from tha mei klux klan on your team what are it gotta go by swipe,1,english
হুগা কও মিয়া,0,bangla
i tend to think the gun business is run by calls who do not want it to die,0,english
मुखी नाव लोकतंत्राचे स्वभावात मात्र तानाशाही मुखी नाव फुले शाहु आंबेडकर यांचे स्वभावात मात्र गोडसे हा लबाड कोल्हा ओळखा पाहू कोण,1,marathi
काहीजण प्रेम भेटत नाही म्हणून वेडे होतात,0,marathi
done check it of course,0,english
गुड मॉर्निंग करतंय बेनं लिंगपिसाट वासनांध स्त्रीलंपट वागळोबा नंतर हा जेवली का हे पण विचारत असेल,1,marathi
মেহেদি হাসান রানা অসাধারন বল। কার কার ভাল লেগেছে,0,bangla
मेटावर्स मध्ये तुम्ही पुस्तक वाचू शकता,0,marathi
এত গুলো মানুষ বোদা চুসসে এখন দারি দারি হুম,1,bangla
কানকি মাগি আর ছুদির বাই সাউয়ার জাযগিরি করতেছ,1,bangla
ভাই চামচা গুলার এইরকম করার কারন টাকা আর কিছু নাহ,0,bangla
সাকিল খান সেই লাগে পপি লাগিয়ে দিলেন,0,bangla
i what i feeling unaware as you note you are run to hell,1,english
लाइव केंद्रीय मंत्री कर रहे हैं इंटरनेशनल डे ऑफ क्लीन एयर फॉर ब्लू स्काइज की अध्यक्षता आज सितंबर को नीले आसमान के लिए स्वच्छ वायु का पहला अंतर्राष्ट्रीय दिवस मनाया जा रहा है। यूट्यूब विवरण,1,hindi
এই হারামি ছোট বক্তাগুলো পরিহার করুন।,1,bangla
খানকির পুত তোর মারে চুদি খানকির পোলা,1,bangla
ভাই আপনি তো মুসলিম নামাজ পড়েন,0,bangla
আপনি তো রাজনীতি বুঝেন না। তাহলে ইশতেহার বুঝলেন কিভাবে রহস্যময় বড়ই রহস্যময়,0,bangla
এখানে মিন্নি জড়িত থাকার সাইকোলজিক্যাল প্রমান দুটি পাই এই ভিডিওতে প্রথমে যখন ধরে নিয়ে যায় তখন এমন যে হাসব্যান্ড মিন্নিকে ডিস্টার্ব করে তাই নয়ন কে দিয়ে মেরে নিচ্ছে পুরাতন প্রথম ভিডিও তে হাসব্যান্ড কে মারার পর মিন্নি কে ব্যাগ নেওয়ার সময় মনে হয়েছে সে এটা সাভাবিক ভাবেই নিয়েছে মিন্নিকে নিয়ে ইনভেস্টটিগেশন করা উচিৎ,0,bangla
१३ वर्षापूर्वी सज्जाद घोसीने केली होती मृतदेहाचे तुकडे तुकडे करून हत्या,0,marathi
কুকুরের মুখে গরুর ডাক মানায় না,1,bangla
शेवटचं वाक्य डोक्यावरुन जाणारे त्याच्या,0,marathi
अमरीकी राष्ट्रपति चुनाव जो बाइडन ने डोनाल्ड ट्रंप को कहा हिंसा भड़काने वाला ज़हरीला नेता,1,hindi
तूज्या आईच्या गांडीत घालून घे त्याला मग झवाड्या,1,marathi
काय चुतीया माणूस म्हणावा लागेल हा भावडा काय भंगार एडिट केला आहे फोटो अरे रताळ्या माणसे कुणीकडे हात करतात आणि हा कुणी कडे हात करतोय एकंदरीत अवघड हाय समदं,1,marathi
পাপনের পদত্যাগ দাবী করছি,0,bangla
केळी 40 रु डझन आहेत आमच्या ईकडे,0,marathi
প্রথম প্রেম কে কেও ভুলতে পারে না ভুলায় তার কিছু অভিনয় কিছু অবহেলা কিন্তু এ সব কিছু মেনে নিয়ে আবার অহ জীবন টা কে সাজিয়া নিতে চলেছে আমার নাটক টা অনেক ভাল লাগছে এগিয়ে চলুন নিশু ভাই আমরা আছি আপনার পাশে।,0,bangla
चोको चॉकलेट नायतर तुझ्या घाणेरड्या बुद्धी प्रमाणे वेगळंच समजून घेशील,1,marathi
पूढे SSC HSC BSC BA BCOM PREPARATION वाले दिसले तर आश्चर्य वाटून घेऊ नका शिक्षण पुन्हा गरीब आणि रांगेत शेवट उभ्या असलेल्यापासून दूर दूर जात आहे,0,marathi
হালায় দূর্বল হাদীস কইছে।,0,bangla
যে প্রবৃদ্ধির ধারা চলছে তা দেশের সব নাগরিকের জন্যে সুষম নয়এটা একটা জায়গায় লম্বালম্বি ভাবে পাহাড়ের চুড়ার মতো উঠে গেছেসবাই এই প্রবৃদ্ধি র সুফল পাচ্ছে না২৪ লক্ষ কর্মসংস্থান আরো বিশাল লক্ষ লক্ষ শিক্ষিত বেকার জনগোষ্ঠীর মাঝে তেমন উল্লেখ করার মতো নয়দেশে সরকারি হিসেব মতে ২৪ লোক দারীদ্রসীমার মাঝে আছেতাহলে চার থেকে পাচ কোটি লোক দরীদ্র আর লক্ষ লক্ষ শিক্ষিত অর্ধ শিক্ষিত নর নারী বেকারদের কর্মসংস্থানে সরকারকে সরাসরি এড্রেস করতে হবেমধ্যম আয়ের দেশের দিকে এগুতে চাইলে।তা নাহলে পুরোনো পুন্জিভূত বেকারদের সাথে আরো লক্ষ লক্ষ বেকার বেকারের কাতারে সামিল হবে।সেটি সরকারের কাম্য না হলে বাস্তব ভিক্তিক কার্যকর একশান প্লান নিয়ে এগুতে হবেতবে বর্তমান অর্থনীতি যেভাবে এগুনোর কথা সেভাবে এগুচ্ছে না বিনিয়োগ স্তবিরতা চলছেকর্ম সংস্থান হবার ক্ষেত্রে আমাদের যথেষ্ট পরিমান উদ্বিগ্ন হবার কারণ রয়েছে।,0,bangla
बिल गेट्स कोरोना टेस्ट के साथ लोगों के शरीर पर चिप लगा रहे हैं जिससे लोगों पर नजर रखी जा सके।,0,hindi
you are worried astir jail they require to bump off constabulary for minutes to wipe out hindus i am aver let us do it any will ascertain who gets wiped verboten gandinaaliabuse,1,english
আমি রেডি,0,bangla
অনুর্পম ভিডিও প্রিন্ট ভালো হয় এদের মত প্রিন্ট করা যায় না বাংলাদেশর সব চেয়ে ভালো প্রিন্ট করে অনুর্পম কম্পানি আপনারা ও ভালো প্রিন্ট করেন বর্স,0,bangla
गणेश विसर्जन आज विसर्जन के बाद मिट्टी और पानी को गमले या पेड़पौधों में डालें ताकि पैर न लगे,1,hindi
শালাকে বহিষ্কার করতে পারেনা সরকার,1,bangla
तुम्हालाही गुढी पाडव्याच्या हार्दिक शुभेच्छा आवडता पदार्थ पूरण पोळी,0,marathi
সাইজ কি বাবা,0,bangla
कल्याण मधल्या तलावातील सर्व कासवे अचानक का मृत्युमुखी पडली आतापर्यंत सुमारे १३५ कासवं मेल्याची माहिती समोर,0,marathi
अंग्रेज़ों को लगता है की वे ख़ास हैं मुझे उनसे नफ़रत है,1,hindi
যত কিছু ই বলছ তোর লজ্জা নাই আর এবার পদত্যাগ ছাড়া ও উপায় নাই,0,bangla
अटलशक्ती महासंपर्क अभियान,0,marathi
i knew you are a politician just by your political career because you make it another such righteous liar,1,english
खरा स्वर्ग त गुजरात आहे कश्मीर तर मादरचोद जहानुम आहे Kashmir Gujarat,1,marathi
